Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor Unit,Station.Name,Latitude,Longitude
2011-01-23 16:41:31,VR2-5052,A69-1303-63639,Ana,11237964,,,E18,-19.27705,146.90302
2011-01-23 16:43:35,VR2-5052,A69-1303-63639,Ana,11237964,,,E18,-19.27705,146.90302
2011-01-23 16:48:25,VR2-5052,A69-1303-63639,Ana,11237964,,,E18,-19.27705,146.90302
2011-01-23 21:07:34,VR2W-104912,A69-1303-63639,Ana,11237964,,,E2,-19.27527,146.88943
2011-01-23 21:12:06,VR2W-104912,A69-1303-63639,Ana,11237964,,,E2,-19.27527,146.88943
2011-01-24 10:57:27,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:16:20,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:17:17,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:19:17,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:20:16,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:21:25,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:22:25,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:28:04,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:31:17,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:32:33,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:34:56,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:35:56,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:37:08,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:38:13,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:39:04,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:39:57,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 11:54:59,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:01:03,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:47:16,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:52:23,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:53:19,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:55:41,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:56:59,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:58:16,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 12:59:31,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:05:43,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:09:19,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:10:14,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:11:16,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:13:42,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:38:32,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 13:38:48,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:39:41,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 13:44:00,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 13:44:17,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:50:09,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 13:54:01,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 13:57:14,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:04:26,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:05:58,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:07:18,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:08:39,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:09:45,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:11:26,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:12:04,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:14:15,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:17:15,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:19:46,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:20:59,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:32:18,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 14:34:00,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:40:24,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 14:43:55,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-24 15:03:29,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 15:09:50,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-24 15:14:25,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 03:26:15,VR2W-104912,A69-1303-63639,Ana,11237964,,,E2,-19.27527,146.88943
2011-01-25 03:29:57,VR2W-104912,A69-1303-63639,Ana,11237964,,,E2,-19.27527,146.88943
2011-01-25 04:29:03,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:30:11,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:31:09,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:32:15,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:33:11,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:35:30,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:36:45,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:37:55,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:38:59,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:41:33,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:42:48,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:43:59,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:45:03,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:47:32,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:48:25,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:49:23,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:53:39,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:55:45,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:56:52,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:57:49,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 04:59:46,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:00:41,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:01:42,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:02:56,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:04:06,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:05:06,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:06:19,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:07:27,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:08:23,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-25 05:09:28,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
