Installation,Station.Name,Receiver,DeploymentDate,RecoveryDate,Longitude,Latitude
Heron and One Tree Island,OT L 1,VR2W-114568,2015-03-20,2015-10-13,152.05185,-23.49606
Heron and One Tree Island,OT 8,VR2W-101728,2015-03-20,2015-10-13,152.05246,-23.4985
Heron and One Tree Island,OT 9,VR2W-114571,2015-03-21,2015-10-13,152.06409,-23.49939
Heron and One Tree Island,OT L 2,VR2W-114569,2015-03-21,2015-10-13,152.06161,-23.49936
Heron and One Tree Island,OT L 3,VR2W-106653,2015-03-21,2015-10-12,152.07541,-23.49355
Heron and One Tree Island,OT L 4,VR2W-106895,2015-03-21,2015-10-12,152.08066,-23.48838
Heron and One Tree Island,OT L 5,VR2W-113125,2015-03-21,2015-10-12,152.0863,-23.49546
Heron and One Tree Island,OT 10,VR2W-120743,2015-03-21,2015-10-12,152.07939,-23.49704
Heron and One Tree Island,OT L 6,VR2W-108446,2015-03-21,2015-10-13,152.08888,-23.50366
Heron and One Tree Island,OT L 7,VR2W-107507,2015-03-21,2015-10-12,152.07674,-23.50139
Heron and One Tree Island,HER 21,VR2W-119302,2015-03-12,2016-06-01,151.92682,-23.43282
Heron and One Tree Island,HER 20,VR2W-101801,2015-03-12,2016-06-01,151.90315,-23.43458
Heron and One Tree Island,HER 25,VR2W-106877,2015-03-18,2016-06-03,151.92105,-23.44353
Heron and One Tree Island,HER 26,VR2W-108353,2015-03-18,2016-06-03,151.93344,-23.44721
Heron and One Tree Island,HER 27,VR2W-106869,2015-03-18,2016-06-03,151.94925,-23.44342
Heron and One Tree Island,HER 28,VR2W-114552,2015-03-18,2016-06-03,151.96809,-23.44894
Heron and One Tree Island,HER 30,VR2W-114548,2015-03-18,2016-06-03,151.96498,-23.45711
Heron and One Tree Island,HER 29,VR2W-114567,2015-03-18,2016-06-03,151.98003,-23.45055
Heron and One Tree Island,HER 15,VR2W-114572,2015-03-17,2016-05-26,151.94704,-23.47091
Heron and One Tree Island,HER 16,VR2W-106906,2015-03-17,2016-05-26,151.93471,-23.46501
Heron and One Tree Island,HER 13,VR2W-101902,2015-03-16,2016-05-26,151.99083,-23.46936
Heron and One Tree Island,HER 14,VR2W-106896,2015-03-17,2016-05-26,151.96519,-23.47367
Heron and One Tree Island,HER 11,VR2W-104182,2015-03-15,2016-05-30,151.99995,-23.42931
Heron and One Tree Island,HER 12,VR2W-106887,2015-03-16,2016-05-30,151.99947,-23.44943
Heron and One Tree Island,HER 22,VR2W-122572,2015-03-12,2016-05-31,151.95218,-23.42828
Heron and One Tree Island,HER 23,VR2W-122571,2015-03-12,2016-05-31,151.96806,-23.43562
Heron and One Tree Island,HER 24,VR2W-122577,2015-03-12,2016-05-31,151.9807,-23.43666
Heron and One Tree Island,HER 17,VR2W-114557,2015-03-17,2016-05-26,151.92249,-23.45487
Heron and One Tree Island,HER 18,VR2W-122584,2015-03-14,2016-06-01,151.91231,-23.44754
Heron and One Tree Island,HER 19,VR2W-122581,2015-03-12,2016-06-01,151.89972,-23.43958
Heron and One Tree Island,Heron E1,VR2W-114545,2015-03-15,2016-05-30,151.99969,-23.43712
Heron and One Tree Island,Heron E2,VR2W-103386,2015-03-16,2016-05-30,151.99879,-23.45786
Heron and One Tree Island,NE Heron,VR2W-101787,2015-03-12,2016-05-31,151.94185,-23.43433
Heron and One Tree Island,NW Heron,VR2W-122587,2015-03-14,2016-05-31,151.91522,-23.4343
Heron and One Tree Island,S Heron,VR2W-101859,2015-03-16,2016-05-26,151.97821,-23.47238
Heron and One Tree Island,OT12,VR2W-114537,2015-03-16,2016-05-28,152.07132,-23.48244
Heron and One Tree Island,OT 3,VR2W-114563,2015-03-16,2016-05-28,152.08263,-23.47931
Heron and One Tree Island,OT 4,VR2W-122586,2015-03-15,2016-05-28,152.09641,-23.49146
Heron and One Tree Island,OT11,VR2W-122588,2015-03-15,2016-05-28,152.10031,-23.50505
Heron and One Tree Island,OT 5,VR2W-108352,2015-03-15,2016-05-30,152.0938,-23.51377
Heron and One Tree Island,The Key Hole,VR2W-114533,2015-03-15,2016-05-30,152.08267,-23.51292
Heron and One Tree Island,OT 6,VR2W-101826,2015-03-15,2016-05-30,152.07425,-23.51198
Heron and One Tree Island,OT 7,VR2W-101844,2015-03-15,2016-05-28,152.05556,-23.50873
Heron and One Tree Island,OT 1,VR2W-106889,2015-03-15,2016-05-28,152.04056,-23.50612
Heron and One Tree Island,OT 2,VR2W-110633,2015-03-16,2016-05-28,152.04584,-23.49207
Heron and One Tree Island,OT 51,VR2W-106658,2015-03-16,2016-05-28,152.06139,-23.4872
Heron and One Tree Island,HFL01,VR2W-124658,2014-05-13,2014-08-22,151.913584,-23.443608
Heron and One Tree Island,HFL02,VR2W-124659,2014-05-13,2014-08-22,151.913531,-23.445296
Heron and One Tree Island,HFL03,VR2W-124660,2014-05-13,2014-08-22,151.915822,-23.444093
Heron and One Tree Island,HFL04,VR2W-124661,2014-05-13,2014-08-22,151.914962,-23.445107
Heron and One Tree Island,HFL05,VR2W-124662,2014-05-13,2014-08-22,151.914895,-23.446055
Heron and One Tree Island,HFL06,VR2W-124663,2014-05-13,2014-08-22,151.918189,-23.444326
Heron and One Tree Island,HFL07,VR2W-124664,2014-05-13,2014-08-22,151.917081,-23.445691
Heron and One Tree Island,HFL08,VR2W-124665,2014-05-13,2014-08-22,151.916808,-23.446818
Heron and One Tree Island,HFL09,VR2W-124666,2014-05-13,2014-08-22,151.91953,-23.445546
Heron and One Tree Island,HFL10,VR2W-124667,2014-05-13,2014-08-22,151.918872,-23.44695
