"Date.and.Time..UTC.","Receiver","Transmitter","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Station.Name","Latitude","Longitude"
2015-10-28 14:29:53,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-28 19:10:58,"VR2W-122983","A69-9001-1545",NA,1215145,NA,NA,"WenTentHud",-12.26239,141.94643
2015-10-29 14:31:01,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-29 14:33:12,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-29 16:26:41,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-29 16:29:08,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-29 16:31:24,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-29 16:33:22,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-29 17:35:16,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-29 19:22:27,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-29 19:24:13,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-30 19:24:31,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-30 20:50:12,"VR2W-122983","A69-9001-1545",NA,1215145,NA,NA,"WenTentHud",-12.26239,141.94643
2015-10-31 16:39:21,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-31 16:41:36,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-10-31 19:05:15,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-10-31 21:49:22,"VR2W-122998","A69-9001-1545",NA,1215145,NA,NA,"Speartooth 3",-12.25314,141.92287
2015-11-01 00:03:41,"VR2W-122983","A69-9001-1545",NA,1215145,NA,NA,"WenTentHud",-12.26239,141.94643
2015-11-01 02:30:46,"VR2W-122983","A69-9001-1545",NA,1215145,NA,NA,"WenTentHud",-12.26239,141.94643
2015-11-01 02:35:33,"VR2W-122983","A69-9001-1545",NA,1215145,NA,NA,"WenTentHud",-12.26239,141.94643
2015-11-01 05:16:33,"VR2W-123002","A69-9001-1545",NA,1215145,NA,NA,"WenTentDS",-12.23126,141.89717
2015-11-01 05:59:09,"VR2W-122996","A69-9001-1545",NA,1215145,NA,NA,"Cloughs landing",-12.21563,141.90041
2015-11-01 06:15:06,"VR2W-122996","A69-9001-1545",NA,1215145,NA,NA,"Cloughs landing",-12.21563,141.90041
2015-11-01 06:21:37,"VR2W-122996","A69-9001-1545",NA,1215145,NA,NA,"Cloughs landing",-12.21563,141.90041
2015-11-01 08:13:49,"VR2W-122996","A69-9001-1545",NA,1215145,NA,NA,"Cloughs landing",-12.21563,141.90041
2015-11-01 08:20:42,"VR2W-122996","A69-9001-1545",NA,1215145,NA,NA,"Cloughs landing",-12.21563,141.90041
